[Header]
GSGX Version	1.6.0
Report Date	5/4/2010 1:35:59 PM
Project	Direct Hybrid
Group Set	Single
Analysis	DirectHybrid
Normalization	none
[Control Probe Profile]
TargetID	ProbeID	4849554032_A.AVG_Signal	4849554032_B.AVG_Signal	4849554032_C.AVG_Signal	4849554032_D.AVG_Signal	4849554032_E.AVG_Signal	4849554032_F.AVG_Signal	4849554032_G.AVG_Signal	4849554032_H.AVG_Signal	4859453004_A.AVG_Signal	4859453004_B.AVG_Signal	4859453004_C.AVG_Signal	4859453004_D.AVG_Signal	4859453004_E.AVG_Signal	4859453004_F.AVG_Signal	4859453004_G.AVG_Signal	4859453004_H.AVG_Signal	4859453022_A.AVG_Signal	4859453022_B.AVG_Signal	4859453022_C.AVG_Signal	4859453022_D.AVG_Signal	4859453022_E.AVG_Signal	4859453022_F.AVG_Signal	4859453022_G.AVG_Signal	4859453022_H.AVG_Signal	4859453023_A.AVG_Signal	4859453023_B.AVG_Signal	4859453023_C.AVG_Signal	4859453023_D.AVG_Signal	4859453023_E.AVG_Signal	4859453023_F.AVG_Signal	4859453023_G.AVG_Signal	4859453023_H.AVG_Signal	4859453024_A.AVG_Signal	4859453024_B.AVG_Signal	4859453024_C.AVG_Signal	4859453024_D.AVG_Signal	4859453024_E.AVG_Signal	4859453024_F.AVG_Signal	4859453024_G.AVG_Signal	4859453024_H.AVG_Signal	4859453027_A.AVG_Signal	4859453027_B.AVG_Signal	4859453027_C.AVG_Signal	4859453027_D.AVG_Signal	4859453027_E.AVG_Signal	4859453027_F.AVG_Signal	4859453027_G.AVG_Signal	4859453027_H.AVG_Signal	
NEGATIVE	10575	149.8773	129.2342	126.6149	128.7236	150.7819	144.6397	157.7881	152.0999	171.2731	166.7067	150.0064	126.9483	157.2294	176.1224	142.3357	157.5963	167.6291	144.3289	166.6684	127.7934	147.9258	154.7912	181.7693	137.9495	203.1823	238.2163	166.1439	170.9881	160.7835	169.5186	190.7704	159.8040	208.6879	178.6986	223.3989	173.1583	202.9476	198.7409	192.4865	179.5638	174.0918	170.9442	165.4992	185.5967	139.1751	147.6286	209.3663	143.0491	
NEGATIVE	10689	97.2927	92.0063	93.0668	80.4574	93.3620	92.8215	107.0631	95.6208	127.8596	108.2183	101.9409	101.5659	103.9307	110.9270	114.4613	104.5132	124.2205	103.4960	120.6264	100.6725	95.5226	122.0337	132.0858	129.6113	126.2727	133.2878	113.1480	104.1664	91.3184	115.2390	114.4821	130.6364	142.8169	132.1261	136.0052	122.8237	136.1971	128.5107	121.6024	126.2042	111.0837	103.8791	100.8240	117.2283	114.3047	100.0013	112.0629	108.6781	
NEGATIVE	20373	80.7275	70.1380	88.5128	87.8501	87.5242	81.3647	85.9183	88.8216	100.1711	104.8034	99.9050	81.2429	93.4389	107.7405	98.5505	90.5746	120.0765	102.9130	115.5173	96.1714	89.7283	101.6753	122.2909	104.3206	119.6454	120.6178	108.8796	103.5368	97.6248	114.7586	108.5424	108.8426	121.5798	113.5536	132.9880	112.7452	112.1680	116.6575	108.4680	122.7783	91.1987	98.8195	101.9779	115.2717	91.8992	96.8533	134.9511	98.7254	
NEGATIVE	50189	151.1671	120.6643	149.1808	128.9887	144.2230	141.4443	156.8730	146.2571	219.5240	148.8122	181.1785	151.7813	194.6029	232.7424	190.6283	177.6422	222.9832	196.6652	245.9133	168.5055	195.5273	210.7346	244.4957	217.7668	226.0040	229.9127	191.7283	221.6583	217.6341	219.6220	202.9939	207.3140	274.9617	239.4114	268.4633	242.7754	254.3769	206.5424	200.6683	231.4037	199.0288	217.0692	201.6191	204.5290	158.9117	162.0327	263.4922	175.0376	
NEGATIVE	50376	85.9514	76.9039	95.0644	86.0981	84.2200	89.9910	91.8572	79.5839	127.7701	116.6774	108.1390	103.0353	97.3989	109.0448	96.1519	106.1713	102.5659	102.0956	124.1078	90.1476	91.3660	108.9350	118.9296	103.5923	109.9956	123.4383	100.5733	111.2569	111.8821	116.6779	113.0183	103.6598	113.5601	129.2711	113.5243	113.1073	113.3149	114.4800	104.0730	99.4105	101.0563	97.4511	90.9353	108.4393	87.6931	110.6122	117.8679	100.5954	
NEGATIVE	50524	90.8263	80.0023	96.4430	83.4147	76.3055	81.3368	93.2577	85.0014	122.8948	104.3505	93.2823	106.5720	109.0428	113.4626	101.1186	98.3208	120.6916	94.2707	103.3999	87.2613	92.4302	91.4409	114.1037	109.0701	102.2656	106.8093	115.4211	110.4562	102.4534	111.4907	104.5673	101.6826	108.1728	123.6932	123.4774	108.3253	125.0199	121.4819	120.7543	106.3197	99.2867	100.3556	109.9951	107.7486	101.6424	97.5191	127.6585	88.0804	
NEGATIVE	60056	111.3972	97.9285	105.2957	96.6514	103.7638	106.5982	125.8172	124.7382	175.6762	129.9925	127.3529	119.5194	140.6623	129.9697	123.6229	128.5378	179.4682	129.1371	140.8823	129.2726	134.1863	119.2935	156.6606	130.1895	146.7763	154.7586	128.9729	142.4113	130.9445	132.1116	143.1194	137.4418	154.4258	153.7029	206.5024	133.4457	146.8969	155.1137	143.4485	154.1285	132.0789	133.1115	135.0520	151.5154	104.3605	128.1337	185.4522	118.2004	
NEGATIVE	60133	116.8403	92.0839	110.9485	107.7600	114.7872	125.7373	145.2789	111.1714	152.8091	122.5305	123.4309	125.9745	138.3824	143.9872	130.4943	131.4159	170.3435	119.9531	157.1207	116.5323	125.0295	148.1170	163.2939	133.4978	147.5730	164.4954	146.0325	131.6269	119.4692	144.2363	180.5070	138.7398	140.3671	146.2005	171.9212	138.1080	187.8077	151.1560	147.4239	139.0307	128.4047	141.2643	141.8687	144.8673	131.5259	117.9380	175.0109	127.2948	
NEGATIVE	60709	98.7000	83.6389	102.9122	89.7067	104.8313	103.0328	104.4314	95.4056	134.6069	130.8658	118.5468	112.1725	124.4263	121.0109	123.8771	129.0459	166.1571	120.6373	133.4822	109.6873	116.5938	122.9327	165.8725	120.9230	157.6093	155.0849	137.5043	131.2884	128.4219	134.9458	115.4201	122.8893	133.4324	159.5820	153.2401	122.2458	173.4676	140.1875	142.7292	132.3245	110.5313	134.1188	121.7054	125.6769	101.5357	116.8171	142.0280	106.9260	
NEGATIVE	60750	113.8490	87.6427	97.6035	96.8742	90.0050	106.1382	109.8350	102.5095	158.9736	129.5216	119.6051	107.2543	108.3957	112.6842	104.8713	140.5132	137.3279	118.3109	135.8698	99.3535	88.7977	102.3189	156.0502	138.6815	127.7241	153.8688	120.9074	129.9558	125.3178	127.3076	127.5389	122.9479	132.7591	127.4624	150.6909	128.6337	128.1478	119.0064	127.0095	136.1877	110.0267	141.4179	124.1747	133.7085	102.9115	113.5559	152.9487	116.9784	
NEGATIVE	70204	92.6719	74.4094	81.4576	77.1577	82.3268	88.3531	100.2682	86.5613	115.0416	109.4807	108.1252	105.3339	95.6545	110.1831	107.4905	102.3597	114.9391	108.7952	117.3439	86.8478	94.3029	106.3282	127.4770	106.7216	120.5511	134.4357	100.6597	114.5051	100.1847	124.7490	106.0184	114.0961	119.7821	141.8085	126.0492	116.6197	134.3619	110.5777	105.0485	122.0475	106.4639	102.2988	98.9035	102.3784	94.5034	84.1468	117.2013	99.9515	
NEGATIVE	70561	136.2643	94.1856	125.6560	119.6535	138.5697	109.3962	161.3871	135.2816	151.9686	135.6388	136.8287	128.1164	159.9766	151.6423	133.3183	151.3738	170.0897	142.6639	164.7288	133.3363	148.7186	164.3137	188.5613	154.7616	154.8183	177.8488	146.6247	166.3859	148.9926	176.4279	158.8668	158.8183	167.8384	190.1788	191.5635	167.0862	213.8666	170.5749	158.4271	164.1136	159.7028	159.4754	158.5800	169.7942	136.4292	151.6161	222.0285	163.0941	
NEGATIVE	110224	81.3450	76.7612	90.5835	78.9868	83.1429	79.2358	101.2393	79.8517	108.8026	96.6902	101.0149	99.2678	108.1171	101.2989	99.5025	94.3332	113.3111	94.9042	106.8991	95.9225	86.2187	116.2541	125.2769	98.9777	102.3366	114.5877	106.4019	109.9258	111.1879	106.0272	112.5575	117.3091	114.2874	130.2370	137.7573	102.5148	135.7614	115.7599	106.1267	125.3902	85.9357	110.8001	102.8115	106.7560	86.3265	94.8707	112.0066	95.1624	
NEGATIVE	110343	88.3074	78.2991	83.7081	92.0319	90.9432	82.9961	107.1430	91.9364	133.2232	123.9045	108.3691	96.4005	114.6647	114.0982	111.9750	117.8872	134.9916	111.8501	129.4377	113.6641	88.3554	104.1590	123.8042	127.7900	123.2873	134.4388	112.8948	121.3092	108.2997	127.8779	114.4219	111.4015	133.8672	125.9167	141.4269	137.1370	141.1128	109.5030	141.3917	122.1913	113.4435	110.0401	110.5364	122.7746	98.5461	88.1729	118.2447	95.7060	
NEGATIVE	110709	93.1182	89.0835	90.0616	97.2598	92.1501	90.1193	102.4446	91.4435	118.1148	120.4707	115.1167	117.2503	112.1025	132.2038	100.6451	106.0759	133.6445	108.6812	121.1758	109.9481	105.9474	109.2256	137.2637	108.1855	149.7732	130.1016	110.3447	115.0903	111.9204	138.6540	112.8874	119.7279	130.0977	135.3000	137.9486	126.7202	138.6650	138.1281	123.0797	124.0913	102.7787	122.3644	109.9699	118.3532	98.6724	116.2591	141.6216	122.1390	
NEGATIVE	110750	169.0336	111.3287	125.2157	121.8852	140.5079	146.3343	183.4466	167.1885	134.7410	124.1186	114.6973	126.5184	146.2305	142.7210	130.9478	155.5141	167.9535	126.1036	176.5221	126.2148	138.2814	128.0896	178.6323	144.2610	152.2452	175.5645	160.5309	180.8380	146.3237	157.9002	160.4932	157.4605	178.1550	140.1832	204.2698	176.0207	194.8322	174.2980	171.2993	167.0682	136.2217	141.1516	161.3742	163.6337	121.1905	144.3837	235.3515	154.7839	
NEGATIVE	130113	128.8907	92.8130	104.2115	109.7793	123.4730	117.8395	142.7294	97.2055	144.8365	145.6738	138.6593	131.8379	136.2509	127.4895	142.5598	142.7330	187.6893	129.4199	175.4393	152.3995	133.6633	153.0059	155.9141	155.5211	173.1701	180.7021	147.8100	155.3987	157.0855	151.1103	143.0415	142.9998	181.9896	164.9730	162.6485	178.4009	162.4569	198.8094	146.6724	174.7019	126.0084	173.1974	154.9928	152.3224	120.4928	142.1844	184.3280	131.4369	
NEGATIVE	130500	123.5678	90.8453	103.9266	103.6445	112.1948	110.6719	131.1673	106.4822	168.6059	133.1075	127.7521	132.2355	134.2135	143.2421	137.9531	139.0647	184.5417	129.6356	154.6209	147.5614	137.8490	164.5533	186.2650	151.3187	163.0249	173.9636	154.5395	142.1092	132.7342	164.5860	163.6167	159.5324	135.3644	148.2565	185.7914	173.5296	170.3194	146.3481	177.3370	178.0090	143.2811	159.8148	139.6219	161.1852	131.3832	133.7986	174.4991	147.5640	
NEGATIVE	150370	99.0154	86.0188	88.3157	86.4433	96.0600	90.9082	96.1912	92.3927	125.9838	117.0829	112.2691	111.4633	131.5846	114.8929	127.0052	116.1310	133.0529	119.3181	127.8579	105.2458	97.5243	111.4360	137.6326	112.0276	147.9462	128.3466	103.0397	122.3786	115.7758	118.1381	120.2055	122.2353	135.3881	138.7846	155.4754	115.5927	138.2741	121.6046	111.4341	134.1365	99.9386	114.4317	108.0468	108.0485	100.1090	106.2817	129.6431	102.4697	
NEGATIVE	160475	78.6271	86.0430	79.0544	74.5773	82.5264	79.2730	78.1228	76.3579	112.7014	108.9044	98.5674	96.7985	92.9925	110.5842	95.9659	105.4583	126.9077	98.2418	115.5539	86.3399	86.5979	100.2702	106.0979	86.3687	102.9212	107.5541	103.5727	107.3335	108.1406	115.5534	111.9944	108.0249	118.0138	125.8183	120.4264	112.4383	113.5910	108.7591	105.9797	109.7213	100.5667	103.6412	91.2451	102.1478	82.6537	89.6954	99.1257	88.6126	
NEGATIVE	160626	101.4449	90.8192	104.4229	105.3460	117.5473	116.3292	133.5305	100.5104	138.5584	114.7627	104.6333	111.7393	118.6236	120.7509	110.3997	123.0411	146.5111	111.9191	133.5544	112.1426	115.8720	118.9515	156.8076	122.2067	135.8290	128.8620	132.8086	136.7871	119.4477	149.0276	130.2496	135.8084	141.4852	136.3500	155.7583	137.9085	138.7872	135.2025	144.5128	140.0613	97.8334	130.1245	117.6018	128.6282	115.9950	132.2491	153.7265	119.1960	
NEGATIVE	240180	87.0955	78.4793	91.0818	90.6250	102.4618	96.3685	114.5385	98.6277	136.2766	111.7581	102.9267	91.8886	107.5819	108.7063	103.8366	99.7035	125.8611	120.0280	102.5644	93.0844	100.9697	115.8489	146.6606	109.1341	124.3135	122.1852	112.0535	126.4035	121.1699	126.0091	101.7833	119.7462	134.0584	141.1966	152.0984	124.9504	129.4093	120.0468	118.4207	127.6679	98.6514	100.8242	104.9008	125.5123	82.6540	89.1525	140.4560	94.2254	
