TargetID	ProbeID	5445316054_A.AVG_Signal	5445316054_A.Detection Pval	5445316054_B.AVG_Signal	5445316054_B.Detection Pval	5445316054_C.AVG_Signal	5445316054_C.Detection Pval	5445316054_D.AVG_Signal	5445316054_D.Detection Pval	5445316054_E.AVG_Signal	5445316054_E.Detection Pval	5445316054_F.AVG_Signal	5445316054_F.Detection Pval	5445316054_G.AVG_Signal	5445316054_G.Detection Pval	5445316054_H.AVG_Signal	5445316054_H.Detection Pval	5445316054_I.AVG_Signal	5445316054_I.Detection Pval	5445316054_J.AVG_Signal	5445316054_J.Detection Pval	5445316054_K.AVG_Signal	5445316054_K.Detection Pval	5445316054_L.AVG_Signal	5445316054_L.Detection Pval	5491021084_A.AVG_Signal	5491021084_A.Detection Pval	5491021084_B.AVG_Signal	5491021084_B.Detection Pval	5491021084_C.AVG_Signal	5491021084_C.Detection Pval	5491021084_D.AVG_Signal	5491021084_D.Detection Pval	5491021084_E.AVG_Signal	5491021084_E.Detection Pval	5491021084_F.AVG_Signal	5491021084_F.Detection Pval	5491021084_G.AVG_Signal	5491021084_G.Detection Pval	5491021084_H.AVG_Signal	5491021084_H.Detection Pval	5491021084_I.AVG_Signal	5491021084_I.Detection Pval	5491021084_J.AVG_Signal	5491021084_J.Detection Pval	5491021084_K.AVG_Signal	5491021084_K.Detection Pval	5491021084_L.AVG_Signal	5491021084_L.Detection Pval
NEGATIVE	3370017	170.9525	0.274026	148.5018	0.5584416	156.7611	0.3896104	187.1797	0.1246753	160.9469	0.5298702	163.6344	0.2311688	163.1978	0.3818182	149.6244	0.5896104	174.9377	0.2298701	165.7078	0.4168831	161.3922	0.2064935	159.0417	0.4233766	129.7971	0.7116883	142.1559	0.3441558	164.8712	0.2155844	160.4984	0.2571429	120.879	0.6558442	156.3779	0.2519481	140.0934	0.4506494	136.2067	0.5493507	157.9018	0.3142857	155.3377	0.2350649	155.7103	0.3922078	150.608	0.2116883
NEGATIVE	3370154	198.6306	0.04675325	126.441	0.8623376	133.4558	0.7896104	125.8067	0.9415584	160.7858	0.5324675	179.5297	0.07142857	161.5186	0.4181818	148.8833	0.6051948	153.7071	0.6116883	162.5812	0.4844156	135.8036	0.7207792	202.0702	0.03506494	125.198	0.7571428	112.7008	0.787013	120.5197	0.7909091	134.406	0.6441559	110.4991	0.8064935	121.6068	0.7415584	144.5948	0.3961039	109.0301	0.8935065	126.9072	0.7649351	100.3724	0.9610389	127.5726	0.7805195	122.4462	0.6844156
NEGATIVE	3370167	195.8019	0.05454545	225.8693	0.005194805	167.9216	0.1844156	168.9709	0.3545454	193.3216	0.1025974	170.6526	0.1532468	175.8587	0.174026	166.1507	0.2896104	204.1563	0.04415584	190.7757	0.08961039	175.744	0.07012987	153.7715	0.5402597	218.8321	0.01168831	150.0983	0.2194805	168.5413	0.1662338	194.855	0.02207792	164.3233	0.06363636	178.2935	0.04675325	165.4083	0.09350649	157.7713	0.2	166.4076	0.1922078	169.4802	0.08571429	163.9629	0.2571429	135.6698	0.4766234
NEGATIVE	3370228	162.1136	0.4155844	192.4882	0.04155844	143.5151	0.6376624	158.1543	0.5558441	122.5561	0.9792208	141.6575	0.6376624	192.2391	0.05064935	175.7955	0.1545455	158.5604	0.5181818	165.3786	0.4285714	201.0589	0.009090909	141.6529	0.7272727	138.2631	0.6311688	131.1479	0.5389611	153.1888	0.3792208	140.6303	0.5649351	142.0066	0.3025974	186.4011	0.02727273	130.7579	0.5779221	152.869	0.261039	135.6594	0.6701299	144.3161	0.4090909	161.7976	0.2831169	125.9983	0.6233766
NEGATIVE	3390112	157.4662	0.4961039	154.7832	0.4363636	134.2613	0.7766234	157.6907	0.5662338	165.7033	0.4441558	160.7232	0.2948052	158.7718	0.4714286	164.5052	0.312987	129.6728	0.9155844	187.0574	0.1194805	143.8519	0.574026	149.9766	0.612987	132.418	0.6909091	136.135	0.4597403	124.2057	0.7506493	139.0209	0.5896104	151.5462	0.1753247	133.9702	0.5987013	129.2318	0.5948052	123.4291	0.7324675	153.0839	0.4	124.8564	0.6935065	128.5046	0.7649351	139.185	0.4051948
NEGATIVE	3390358	146.2488	0.6753247	155.514	0.4194805	145.0576	0.6103896	197.7614	0.06623377	182.0402	0.1935065	135.6275	0.7337663	145.0341	0.7077922	151.4276	0.5584416	155.1532	0.5844156	190.7525	0.09090909	179.9037	0.05454545	154.188	0.5298702	168.367	0.2051948	135.8227	0.4675325	161.593	0.2506494	156.1898	0.3207792	155.4101	0.1428571	145.1795	0.4246753	133.0224	0.5623376	135.7113	0.5558441	165.1693	0.2155844	144.0356	0.412987	180.2762	0.09220779	128.9946	0.5818182
NEGATIVE	3390546	175.8104	0.2155844	170.9049	0.1441558	158.7646	0.3519481	174.1315	0.2701299	170.4742	0.3649351	174.219	0.1220779	148.205	0.6753247	139.0936	0.7753247	167.1136	0.3545454	189.5503	0.0987013	147.1456	0.5	174.6842	0.1974026	156.5526	0.3532467	163.5718	0.0948052	150.4742	0.4324675	180.4019	0.06883117	151.5226	0.1766234	186.4101	0.02597403	171.756	0.05584415	155.9083	0.212987	159.4438	0.2857143	143.7022	0.4168831	156.0031	0.3857143	159.941	0.112987
NEGATIVE	3390632	125.5034	0.9077922	120.5383	0.9233766	121.8633	0.9103896	123.9169	0.9636363	133.4861	0.9233766	124.3072	0.8896104	153.5996	0.5753247	118.457	0.9662338	131.0435	0.8961039	145.2515	0.7688312	120.124	0.9194805	106.2769	1	111.102	0.8922078	99.60009	0.9311689	113.0696	0.8636364	118.0501	0.8142857	104.6031	0.8792208	110.7847	0.8636364	104.0278	0.9025974	123.1868	0.7363636	121.7192	0.812987	109.0891	0.8857143	127.8423	0.7753247	104.3367	0.9246753
NEGATIVE	3400253	111.5443	0.9844156	127.4549	0.8532467	112.8826	0.9779221	136.783	0.8441558	132.7984	0.9350649	134.9086	0.7441558	132.4026	0.848052	143.2289	0.7090909	149.3992	0.6727273	129.2892	0.9350649	135.2239	0.7324675	122.2695	0.951948	111.4066	0.8857143	91.62978	0.9883117	117.3496	0.8233766	99.52808	0.9792208	108.844	0.8246753	108.5135	0.8896104	107.402	0.8701299	125.8989	0.6961039	139.661	0.6220779	124.0738	0.7064935	136.2041	0.6649351	122.2599	0.6857143
NEGATIVE	3400414	225.3266	0.01168831	174.775	0.1207792	173.497	0.1116883	153.1672	0.6623377	181.0852	0.2	165.7022	0.2103896	182.8454	0.1051948	174.0462	0.1792208	203.9174	0.04545455	179.8976	0.1909091	186.2073	0.03376623	180.0406	0.1428571	187.9413	0.06363636	146.5718	0.2727273	185.6289	0.04025974	179.3026	0.07532468	120.2788	0.6649351	187.6914	0.02467532	174.3144	0.04415584	149.1484	0.3181818	155.4926	0.3532467	197.292	0.009090909	168.6895	0.1909091	182.0706	0.02077922
